Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
28/02/2020,09:00:00,101350,101435,100980,101160,41335,143618
28/02/2020,09:10:00,101160,102800,101100,102595,134741,475440
28/02/2020,09:20:00,102595,102960,102120,102940,143638,486593
28/02/2020,09:30:00,102945,103260,102025,102510,149779,503351
28/02/2020,09:40:00,102510,103095,102210,103020,93486,345555
28/02/2020,09:50:00,103020,103040,102250,103015,92266,348564
28/02/2020,10:00:00,103020,103395,102865,103075,112717,427820
28/02/2020,10:10:00,103075,103510,102555,103145,108407,369449
28/02/2020,10:20:00,103145,103300,102640,102800,95420,320099
28/02/2020,10:30:00,102805,103225,102665,102810,83364,278865
28/02/2020,10:40:00,102820,102850,102310,102370,100367,333559
28/02/2020,10:50:00,102370,102510,102135,102190,81184,283507
28/02/2020,11:00:00,102190,102410,101870,101935,81656,303332
28/02/2020,11:10:00,101935,102005,101470,101485,85062,292508
28/02/2020,11:20:00,101480,101690,101385,101505,74939,282012
28/02/2020,11:30:00,101505,102265,101400,101920,171842,640373
28/02/2020,11:40:00,101915,101915,101105,101210,136673,500659
28/02/2020,11:50:00,101210,101420,100585,100735,150460,552067
28/02/2020,12:00:00,100735,101060,100470,100745,127528,484312
28/02/2020,12:10:00,100745,101060,100335,101035,103069,390294
28/02/2020,12:20:00,101035,101410,100535,100580,106420,431111
28/02/2020,12:30:00,100575,101560,100510,101195,112492,456824
28/02/2020,12:40:00,101195,101300,100800,100890,83962,333931
28/02/2020,12:50:00,100890,101595,100855,101410,85979,337473
28/02/2020,13:00:00,101410,101495,101020,101170,78449,313767
28/02/2020,13:10:00,101165,101595,101075,101565,75943,317537
28/02/2020,13:20:00,101570,101830,101315,101770,73638,296017
28/02/2020,13:30:00,101770,102390,101700,102345,86124,376815
28/02/2020,13:40:00,102350,102940,102220,102400,109602,481069
28/02/2020,13:50:00,102400,102570,102080,102350,90762,378472
28/02/2020,14:00:00,102355,102490,101860,102150,92847,394148
28/02/2020,14:10:00,102150,102500,101850,102355,70426,273637
28/02/2020,14:20:00,102360,102635,102130,102555,63881,259457
28/02/2020,14:30:00,102555,102800,102430,102565,89242,386598
28/02/2020,14:40:00,102565,102855,102325,102575,74505,332701
28/02/2020,14:50:00,102570,103180,102550,102990,85922,388297
28/02/2020,15:00:00,102990,103225,102670,102980,80797,361231
28/02/2020,15:10:00,102985,103150,102530,102980,76290,325547
28/02/2020,15:20:00,102985,103085,102635,102645,57367,247634
28/02/2020,15:30:00,102645,102720,102275,102440,75526,317502
28/02/2020,15:40:00,102440,102585,102165,102475,72466,301654
28/02/2020,15:50:00,102475,102540,102100,102290,60643,253170
28/02/2020,16:00:00,102285,102285,101775,101855,66534,277866
28/02/2020,16:10:00,101850,102045,101760,101935,53294,230331
28/02/2020,16:20:00,101935,102470,101805,102270,76412,326974
28/02/2020,16:30:00,102275,103095,102245,102755,113194,530212
28/02/2020,16:40:00,102760,103540,102755,103295,91018,392856
28/02/2020,16:50:00,103300,103475,102925,103170,62810,260148
28/02/2020,17:00:00,103170,103290,102520,102970,73985,307650
28/02/2020,17:10:00,102970,103850,102880,103725,73838,307439
28/02/2020,17:20:00,103725,103750,103015,103075,63538,278056
28/02/2020,17:30:00,103080,103425,102915,103275,57647,257391
28/02/2020,17:40:00,103275,103670,103000,103510,55270,253921
28/02/2020,17:50:00,103500,104485,103335,104440,55062,237624
28/02/2020,18:00:00,104430,104765,104200,104555,32503,118188
28/02/2020,18:10:00,104545,104810,104425,104660,5780,19499
28/02/2020,18:20:00,104655,104920,104580,104840,1840,9303
28/02/2020,18:30:00,104915,104915,104915,104915,634,7539
02/03/2020,09:00:00,103860,103865,103090,103480,90378,311710
02/03/2020,09:10:00,103485,104190,103480,103735,131148,423327
02/03/2020,09:20:00,103735,104035,103520,104020,108184,333179
02/03/2020,09:30:00,104015,104400,103935,103980,130040,415641
02/03/2020,09:40:00,103980,104220,103710,104195,116736,354198
02/03/2020,09:50:00,104195,104530,104025,104430,118000,350635
02/03/2020,10:00:00,104430,104585,104125,104530,105377,318071
02/03/2020,10:10:00,104530,104980,104365,104965,113430,362988
02/03/2020,10:20:00,104970,105050,104390,104545,123235,409958
02/03/2020,10:30:00,104545,104705,104205,104405,89376,309174
02/03/2020,10:40:00,104405,104695,104115,104180,91237,312465
02/03/2020,10:50:00,104180,105220,104175,105190,112808,390135
02/03/2020,11:00:00,105190,105360,105010,105290,108717,408965
02/03/2020,11:10:00,105290,105575,105135,105500,75820,278744
02/03/2020,11:20:00,105495,105695,105385,105690,60517,216631
02/03/2020,11:30:00,105690,105780,105160,105195,132399,463080
02/03/2020,11:40:00,105195,105375,104925,105045,102475,380112
02/03/2020,11:50:00,105045,105550,104950,105295,99501,354595
02/03/2020,12:00:00,105300,105475,104715,104775,102004,345322
02/03/2020,12:10:00,104775,105485,104750,105365,94844,325294
02/03/2020,12:20:00,105365,105475,105015,105425,79609,297021
02/03/2020,12:30:00,105420,105900,105185,105815,101026,358286
02/03/2020,12:40:00,105815,106060,105735,106040,64565,242872
02/03/2020,12:50:00,106045,106140,105930,105975,61316,237276
02/03/2020,13:00:00,105980,106140,105900,105965,62498,238048
02/03/2020,13:10:00,105960,106670,105920,106450,99577,399606
02/03/2020,13:20:00,106450,106685,106445,106530,68137,267421
02/03/2020,13:30:00,106530,106805,106485,106740,63954,244670
02/03/2020,13:40:00,106740,106750,106520,106605,55038,204142
02/03/2020,13:50:00,106610,106855,106550,106790,52897,204299
02/03/2020,14:00:00,106790,106855,106585,106590,44542,171407
02/03/2020,14:10:00,106595,106670,106415,106525,48145,188480
02/03/2020,14:20:00,106525,106685,106315,106645,62129,240789
02/03/2020,14:30:00,106650,107150,106625,107110,67719,271580
02/03/2020,14:40:00,107105,107380,107025,107285,67473,275957
02/03/2020,14:50:00,107285,107600,107225,107540,64258,255741
02/03/2020,15:00:00,107545,107640,107280,107375,62379,251758
02/03/2020,15:10:00,107375,107760,107295,107335,79724,317955
02/03/2020,15:20:00,107340,107470,107170,107315,64344,264586
02/03/2020,15:30:00,107315,107495,107170,107475,64230,251604
02/03/2020,15:40:00,107475,107550,107075,107120,63699,246038
02/03/2020,15:50:00,107115,107245,106925,107070,64211,246853
02/03/2020,16:00:00,107070,107095,106665,106930,66339,249970
02/03/2020,16:10:00,106930,106990,106575,106700,62805,239219
02/03/2020,16:20:00,106695,106825,106405,106445,69975,274493
02/03/2020,16:30:00,106440,106620,106185,106240,68404,279315
02/03/2020,16:40:00,106235,106310,105820,106245,87267,371339
02/03/2020,16:50:00,106240,106530,105860,105905,77836,316958
02/03/2020,17:00:00,105905,106310,105710,106155,67862,296533
02/03/2020,17:10:00,106160,106330,105940,105975,52287,224394
02/03/2020,17:20:00,105975,106690,105860,106525,68717,303433
02/03/2020,17:30:00,106520,106645,106125,106475,60084,269014
02/03/2020,17:40:00,106475,106785,106305,106770,55810,248254
02/03/2020,17:50:00,106770,107315,106765,107265,64366,281466
02/03/2020,18:00:00,107260,107420,107010,107410,24631,112682
02/03/2020,18:10:00,107500,107500,107500,107500,977,18807
