Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
02/03/2020,09:00:00,103860,103865,103090,103480,90378,311710
02/03/2020,09:10:00,103485,104190,103480,103735,131148,423327
02/03/2020,09:20:00,103735,104035,103520,104020,108184,333179
02/03/2020,09:30:00,104015,104400,103935,103980,130040,415641
02/03/2020,09:40:00,103980,104220,103710,104195,116736,354198
02/03/2020,09:50:00,104195,104530,104025,104430,118000,350635
02/03/2020,10:00:00,104430,104585,104125,104530,105377,318071
02/03/2020,10:10:00,104530,104980,104365,104965,113430,362988
02/03/2020,10:20:00,104970,105050,104390,104545,123235,409958
02/03/2020,10:30:00,104545,104705,104205,104405,89376,309174
02/03/2020,10:40:00,104405,104695,104115,104180,91237,312465
02/03/2020,10:50:00,104180,105220,104175,105190,112808,390135
02/03/2020,11:00:00,105190,105360,105010,105290,108717,408965
02/03/2020,11:10:00,105290,105575,105135,105500,75820,278744
02/03/2020,11:20:00,105495,105695,105385,105690,60517,216631
02/03/2020,11:30:00,105690,105780,105160,105195,132399,463080
02/03/2020,11:40:00,105195,105375,104925,105045,102475,380112
02/03/2020,11:50:00,105045,105550,104950,105295,99501,354595
02/03/2020,12:00:00,105300,105475,104715,104775,102004,345322
02/03/2020,12:10:00,104775,105485,104750,105365,94844,325294
02/03/2020,12:20:00,105365,105475,105015,105425,79609,297021
02/03/2020,12:30:00,105420,105900,105185,105815,101026,358286
02/03/2020,12:40:00,105815,106060,105735,106040,64565,242872
02/03/2020,12:50:00,106045,106140,105930,105975,61316,237276
02/03/2020,13:00:00,105980,106140,105900,105965,62498,238048
02/03/2020,13:10:00,105960,106670,105920,106450,99577,399606
02/03/2020,13:20:00,106450,106685,106445,106530,68137,267421
02/03/2020,13:30:00,106530,106805,106485,106740,63954,244670
02/03/2020,13:40:00,106740,106750,106520,106605,55038,204142
02/03/2020,13:50:00,106610,106855,106550,106790,52897,204299
02/03/2020,14:00:00,106790,106855,106585,106590,44542,171407
02/03/2020,14:10:00,106595,106670,106415,106525,48145,188480
02/03/2020,14:20:00,106525,106685,106315,106645,62129,240789
02/03/2020,14:30:00,106650,107150,106625,107110,67719,271580
02/03/2020,14:40:00,107105,107380,107025,107285,67473,275957
02/03/2020,14:50:00,107285,107600,107225,107540,64258,255741
02/03/2020,15:00:00,107545,107640,107280,107375,62379,251758
02/03/2020,15:10:00,107375,107760,107295,107335,79724,317955
02/03/2020,15:20:00,107340,107470,107170,107315,64344,264586
02/03/2020,15:30:00,107315,107495,107170,107475,64230,251604
02/03/2020,15:40:00,107475,107550,107075,107120,63699,246038
02/03/2020,15:50:00,107115,107245,106925,107070,64211,246853
02/03/2020,16:00:00,107070,107095,106665,106930,66339,249970
02/03/2020,16:10:00,106930,106990,106575,106700,62805,239219
02/03/2020,16:20:00,106695,106825,106405,106445,69975,274493
02/03/2020,16:30:00,106440,106620,106185,106240,68404,279315
02/03/2020,16:40:00,106235,106310,105820,106245,87267,371339
02/03/2020,16:50:00,106240,106530,105860,105905,77836,316958
02/03/2020,17:00:00,105905,106310,105710,106155,67862,296533
02/03/2020,17:10:00,106160,106330,105940,105975,52287,224394
02/03/2020,17:20:00,105975,106690,105860,106525,68717,303433
02/03/2020,17:30:00,106520,106645,106125,106475,60084,269014
02/03/2020,17:40:00,106475,106785,106305,106770,55810,248254
02/03/2020,17:50:00,106770,107315,106765,107265,64366,281466
02/03/2020,18:00:00,107260,107420,107010,107410,24631,112682
02/03/2020,18:10:00,107500,107500,107500,107500,977,18807
